Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
2866,Joscha Wosz,de GER,DF,RB Leipzig,de Bundesliga,19,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2867,Xeka,pt POR,MF,Lille,fr Ligue 1,26,1994,18,10,0,0,34,20,0,10,35,34,1,0,0,178,22,28,44
2868,Granit Xhaka,ch SUI,MFDF,Arsenal,eng Premier League,28,1992,25.9,10,1,0,35,23,2,18,31,24,0,1,0,248,36,29,55.4
2869,Sekou Yansané,gn GUI,FW,Paris S-G,fr Ligue 1,18,2003,0.2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
2870,Andriy Yarmolenko,ua UKR,FW,West Ham,eng Premier League,31,1989,3.5,1,0,0,1,5,3,5,1,0,0,0,0,17,4,8,33.3
2871,Yusuf Yazıcı,tr TUR,MFFW,Lille,fr Ligue 1,24,1997,5.7,3,0,0,9,9,1,9,3,4,0,0,0,36,6,8,42.9
2872,Kelvin Yeboah,it ITA,FW,Genoa,it Serie A,21,2000,9.4,2,0,0,30,30,7,13,1,8,1,0,0,53,29,52,35.8
2873,Gerard Yepes,es ESP,MFDF,Sampdoria,it Serie A,18,2002,0.2,0,0,0,1,0,0,0,1,0,0,0,0,5,1,0,100
2874,Burak Yılmaz,tr TUR,FW,Lille,fr Ligue 1,36,1985,24.6,9,1,0,23,26,41,37,6,3,1,0,0,59,26,40,39.4
2875,Okay Yokuşlu,tr TUR,DFMF,Getafe,es La Liga,27,1994,5.2,1,0,0,5,5,0,0,6,7,0,0,0,57,16,7,69.6
2876,Okay Yokuşlu,tr TUR,DFMF,Celta Vigo,es La Liga,27,1994,1.6,0,0,0,2,2,0,0,5,2,0,0,0,21,7,2,77.8
2877,Leny Yoro,fr FRA,MF,Lille,fr Ligue 1,15,2005,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
2878,Maya Yoshida,jp JPN,DF,Sampdoria,it Serie A,32,1988,20.3,2,0,0,25,8,0,4,48,11,0,0,1,211,49,20,71
2879,Ashley Young,eng ENG,DFFW,Aston Villa,eng Premier League,36,1985,13.9,2,0,0,20,34,1,29,22,15,0,0,1,91,12,18,40
2880,Nathan Young-Coombes,eng ENG,FW,Brentford,eng Premier League,18,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2881,Zaydou Youssouf,fr FRA,MF,Saint-Étienne,fr Ligue 1,22,1999,17.3,3,1,0,23,28,1,8,29,36,0,0,1,175,14,22,38.9
